Index,Tweets
365,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
366,"RT @NHLHighlightBOT: 7 Must-have No-code Tools to Build Your Next Business

#bot #nftcommunity #retro #tejran #cats #world #lesson #mhaoc #…"
367,"RT @Discorus: ""Post Brexit you'll see your food bills go down"" Yeah, because there's nothing on the shelves you fucking spanners. #Remoaner…"
368,Brexit Explained it’s so tiresome. #Brexit https://t.co/sWIpbhZjmN
369,"RT @LizWebsterLD: Sir Alan Duncan: “Brexit purists need to appreciate that Conservative Party is on edge of oblivion, any further division…"
370,"RT @Discorus: ""Post Brexit you'll see your food bills go down"" Yeah, because there's nothing on the shelves you fucking spanners. #Remoaner…"
371,"@SgtWillyWalker @mrjamesob Should have said it mentioned #brexit, he’d be on it like a shot."
372,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
373,"RT @MarkTodd_pol: Benefits of Tory Hard #Brexit so far:
1) 4% loss in GDP worth £130billion a year
2) £50 billion a year loss in tax revenu…"
374,I can’t comment on whether it’s the weather or profiteering or energy costs in UK to heat greenhouses or #BREXIT -… https://t.co/xxWsl9zykn
375,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
376,"Spot the difference 

#brexit #shortages #BrexitBritain #BrexitDisaster #BrexitBenefit #fbpe @UKLabour… https://t.co/HjuP5Ja3Oo"
377,"RT @jakkibak: Hurra #Brexit
What was that about 'less red tape'?

#BrexitReality #BrexitBritain"
378,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
379,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
380,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
381,"RT @LizWebsterLD: #brexit showdown on #Protocol as the rest of the country is concerned about #CostOfLivingCrisis and #FoodCrisis 

How out…"
382,"RT @TobiFrenzen: A functioning #democracy would have immediately declared the result of the 2016 #Brexit referendum null and void!

Upon di…"
383,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
384,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
385,RT @MrJohnNicolson: US military study saw #Brexit as part of a Russian ‘Information Blitzkrieg’ on the West. “Brexit played a key role in r…
386,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
387,"RT @Francgotbuffed: I am once again reminded of this 

#NIprotocol #thedup #brexit https://t.co/P3uRguJB4x"
388,RT @RemainerNow: Public views on #brexit in 2023. The UK has #Bregret https://t.co/FEV7o4kn6C
389,"RT @LizWebsterLD: Things are about to get a lot worse for food supply in Britain. 

It’s tomatoes and cucumbers now. Potatoes likely will b…"
390,"RT @Facts4euOrg: Is the EU rapidly going bust? Bankruptcies soar to highest level on record.
EU insolvencies rocketed up by 27% in the last…"
391,"@Pollos_Enanos @johnredwood Not sure you can really blame it on #brexit. The point of brexit of course, is it is th… https://t.co/JY85roHUFP"
392,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
393,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
394,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
395,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
396,"RT @MarkTodd_pol: From Great Britain to Little England

#Brexit #BrexitBritain"
397,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
398,"RT @LizWebsterLD: #brexit showdown on #Protocol as the rest of the country is concerned about #CostOfLivingCrisis and #FoodCrisis 

How out…"
399,"RT @On_The_News_Ltd: Two things Remoaners say that really trigger me…

1) When they cry to the EU for Brexit working

2) When they say that…"
400,"RT @cookiris14: Next time when you want fresh produce
Just remember you had it all

Until

These Cons Fools came up with this brilliant ide…"
401,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
402,RT @NeilPhilpott: #Brexit strikes again. What an incredibly damaging and stupid idea it was.
403,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
404,RT @philiprichards5: Rishi Sunak has been warned that more than 100 Tory MPs may vote against the Northern Ireland protocol agreement. The…
405,RT @LauraPh222: And again. Another sadly necessary thread. #Brexit for (disingenuous) dummy…
406,RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
407,RT @gmbutts: Some things are beyond parody. #Brexit https://t.co/uoUEcQTLjM
408,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
409,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
410,@TerraOrBust Don’t even dream of it! The French are too weak and to uneducated to apologise. They will blame #Brexit 😂
411,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
412,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
413,"RT @Europa_TVE: Damian Boeselager es el único europarlamentario de Volt, un jovencísimo partido ""hijo"" del trauma del #Brexit  @VoltEspana…"
414,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
415,RT @EuropeanPowell: Why the fuck should the DUP nutjobs being calling the shots here? They should be dismantled and banished from politics…
416,RT @blowercartoons: Telegraph cartoon 20.2.23 #BAFTA2023 #BAFTA #brexit #RishiSunak https://t.co/l0EGZK8w4W
417,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
418,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
419,"GBP/JPY attempts to surpass 161.70, BoE to pause rate hike cycle to fade slowdown fears – by @Sagar_Dua24… https://t.co/5KjnxqVf6q"
420,RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
421,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
422,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
423,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
424,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
425,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
426,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
427,"RT @OrdinaryWalks: Is ""poor weather"" another name for #Brexit? @BBCNews must think we are all thick.  https://t.co/cgAI9XTUgB"
428,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
429,"RT @BrexitTruth: Economic NATO like the EU single market, Liz?  @trussliz #Brexit"
430,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
431,Rishi Sunak has been warned that more than 100 Tory MPs may vote against the Northern Ireland protocol agreement. T… https://t.co/fvh34aCM7R
432,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
433,"RT @pagechord: @itvnews #Morrisons, #Hyde midday last Thurs, told it was supply issues, I've previously been offered every reason possible,…"
434,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
435,RT @RichardSpeaks24: @itvnews I blame #Brexit as an exacerbating issue. EU was our biggest/nearest trading partner/market. Wider geo trade…
436,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
437,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
438,RT @Tom___Scott: There are very few precedents for an act of national self-destruction such as we are currently witnessing with #Brexit.…
439,And again. Another sadly necessary thread. #Brexit for (disingenuous) dummy… https://t.co/WtDgLWfWwz
440,RT @Jacobbe79601492: Important piece of EU #brexit legislation reported by Steve. The timing of this EU framework on retaliation measures a…
441,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
442,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
443,"RT @AndrewOathy: @RhonddaBryant Same tactic when May was PM, Nonstop meddling and undermining everything. He knows Sunak has no mandate and…"
444,RT @Anna_Soubry: Apart from #Guardian there’s a pitiful failure of the media to investigate the Conservative Democratic Organisation (sic)…
445,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
446,#Brexit strikes again. What an incredibly damaging and stupid idea it was. https://t.co/k3s3SV3icP
447,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
448,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
449,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
450,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
451,"Economic NATO like the EU single market, Liz?  @trussliz #Brexit https://t.co/Lojw9wy3Qm"
452,@john4brexit Remind us what it was pre #brexit ?
453,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
454,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
455,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
456,@johnredwood #Brexit
457,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
458,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
459,"RT @SaveBritishFood: We have been warning a #FoodCrisis was inevitable thanks to #Brexit 

That #UkraineRussiaWar #ClimateEmergency and #Co…"
460,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
461,"RT @watch_union: Liz #Truss, ehem. britishe PM, die den #Brexit pur zum Erfolg machen wollte, fordert jetzt eine ""ökonomische NATO um China…"
462,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
463,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
464,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
465,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
466,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
467,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
468,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
469,RT @JibbaJabb: Your regular reminder why the Northern Ireland #Protocol exists and why the chief naysayers are also the chief architects. #…
470,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
471,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
472,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
473,"RT @ChrisyDrThomas: My 86yro step dad who has heart failure, not been able to get his meds for over a week - local chemist Whitworths Barno…"
474,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
475,RT @RolfMeissler: The manipulation of an entire people by a handful of millionaires and billionaires who promised themselves higher profits…
476,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
477,@Martin020455 @somechewlip @1ainTro11sBots @Independents20 @Roblev0 @andrewsibley15 @The_Leaver @Obohobofromnobo… https://t.co/eQs7DvYPgp
478,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
479,"RT @gildedcage66: What do you believe was the MAIN REASON some people (or yourself) voted for #Brexit?

Please retweet and comment others (…"
480,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
481,"I think @NSoames said it best. When a dog growls, if you don't kick it in the balls it will become dangerous. And h… https://t.co/db8dbDfdbr"
482,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
483,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
484,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
485,Eff me sideways! Why doesn’t she put it in plain words: #Brexit was a colossal mistake! https://t.co/BrpvurXoPo
486,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
487,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
488,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
489,"RT @TobiFrenzen: A functioning #democracy would have immediately declared the result of the 2016 #Brexit referendum null and void!

Upon di…"
490,"@16MillionRising @BBCNews When I mention this to a friend of mine who lives in Madrid, she said weather was good an… https://t.co/u6So5949Mb"
491,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
492,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
493,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
494,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
495,"RT @MagEve2: #r4today

According to @SimonClark Boris Johnson both 

1. Signed a treaty he described as ‘getting #Brexit done’

And 

2. Kn…"
496,RT @EtonOldBoys: This is the only Veg in Dorset thanks to #Brexit https://t.co/4d2WsthpDE
497,RT @Tom___Scott: There are very few precedents for an act of national self-destruction such as we are currently witnessing with #Brexit.…
498,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
499,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
500,"RT @Penyrheolgerrig: Tesco and Sainsbury’s shoppers in London find shelves empty as supermarkets explain why there are no tomatoes, cucumbe…"
501,"RT @MarkTodd_pol: Benefits of Tory Hard #Brexit so far:
1) 4% loss in GDP worth £130billion a year
2) £50 billion a year loss in tax revenu…"
502,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
503,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
504,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
505,#brexit https://t.co/276bHrSeEh
506,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
507,RT @saltyliquorice: #brexit https://t.co/fSoWkuwpME
508,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
509,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
510,RT @Jacobbe79601492: Important piece of EU #brexit legislation reported by Steve. The timing of this EU framework on retaliation measures a…
511,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
512,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
513,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
514,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
515,#Brexit fascists. https://t.co/YOjjkHHlct
516,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
517,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
518,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
519,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
520,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
521,RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
522,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
523,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
524,"@StormySturgeon He was told this would happen so what’s he talking about. If he knew, he wouldn’t have voted for #Brexit"
525,"RT @LizWebsterLD: Sir Alan Duncan: “Brexit purists need to appreciate that Conservative Party is on edge of oblivion, any further division…"
526,RT @Tom___Scott: There are very few precedents for an act of national self-destruction such as we are currently witnessing with #Brexit.…
527,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
528,"Anyone notice that those MP's* on the Brexit gravy train keep getting fatter?
Barclay, Johnson, Frost.
I think that… https://t.co/grtDxU8B3S"
529,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
530,"RT @brexitleo: 🚨 Sorry to interfere @BestForBritain

The Coal and Steel Community (1952), the Rome Treaty (1957), the EEC, European Union (…"
531,47 ways to enhance your parenting. #brexit #clickbait
532,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
533,"7 Must-have No-code Tools to Build Your Next Business

#bot #nftcommunity #retro #tejran #cats #world #lesson… https://t.co/rSDtquOeDq"
534,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
535,RT @jemmaforte: Wow. Look how openly they describe the illegality of the referendum across the pond! Makes you realise quite how muted our…
536,RT @saltyliquorice: #brexit https://t.co/fSoWkuwpME
537,"🚨 Sorry to interfere @BestForBritain

The Coal and Steel Community (1952), the Rome Treaty (1957), the EEC, Europea… https://t.co/b1pl4VVymW"
538,"RT @Ncknwmn: As ⁦@BorisJohnson⁩ tries to undermine ⁦@RishiSunak⁩’s attempt to get a NI Brexit deal, here’s a toon of mine from the current…"
539,"RT @TobiFrenzen: A functioning #democracy would have immediately declared the result of the 2016 #Brexit referendum null and void!

Upon di…"
540,"RT @TobiFrenzen: A functioning #democracy would have immediately declared the result of the 2016 #Brexit referendum null and void!

Upon di…"
541,"The DUP by backing #Brexit is responsible for the border down the middle of the Irish Sea.

#Newsnight"
542,"RT @holnicoteNH: What the heck is going on? This is in @Tesco in Minehead tonight, and the same last night! No tomatoes, no peppers, no cuc…"
543,RT @JibbaJabb: Your regular reminder why the Northern Ireland #Protocol exists and why the chief naysayers are also the chief architects. #…
544,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
545,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
546,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
547,"RT @MrMickNL: I've just been to our local Albert Heijn supermarket, the beef tomatoes &amp; golden kiwis seem popular. 🇳🇱🇪🇺 It's not supply iss…"
548,RT @aw_dem: Report in the @guardian on how the NFU is warning that #Brexit is leading to the import of unsafe food at https://t.co/Ed0JMezx…
549,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
550,"RT @JohnClarke1960: Brilliant Comedy Material except THIS is real 🤷‍♂️….. #LizTruss wants to reinvent the #EU 😂 

#BrexitBrokeBritain 
#Bre…"
551,"#brexit #Ireland 

Northern Ireland can only leave the UK if it's people vote to do so.

If British ministers carry… https://t.co/iVCJxM4PGp"
552,"RT @Christo93199773: 2,433 days have elapsed since the #Brexit referendum.

We lose £1,000,000 of trade every hour as a direct result of Br…"
553,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
554,RT @ajourno101: @LondonEconomic And he should ditch his support for #Brexit!
555,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
556,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
557,"RT @watch_union: Liz #Truss, ehem. britishe PM, die den #Brexit pur zum Erfolg machen wollte, fordert jetzt eine ""ökonomische NATO um China…"
558,RT @aw_dem: Report in the @guardian on how the NFU is warning that #Brexit is leading to the import of unsafe food at https://t.co/Ed0JMezx…
559,RT @riotgrandma72: Oh look: #borisjohnson with a friend. The man who has done less for the country and more for himself than anyone else. #…
560,"RT @SaveBritishFood: We have been warning a #FoodCrisis was inevitable thanks to #Brexit 

That #UkraineRussiaWar #ClimateEmergency and #Co…"
561,"RT @MarkTodd_pol: Andrew Marr on @lbc ‘everybody is seeing empty shelves and green cardboard across the fruit and veg aisles.’

#Brexit #Br…"
562,"RT @AngusRobertson: Perhaps the biggest slap in the face for all of us is the fact they tried to keep these talks secret. In public, Lab &amp;…"
563,"Soon coming to UK!  that's why #suella wants to remove #humanrights from UK, like #brexit https://t.co/wbBrWHsDtz"
564,"RT @watch_union: Liz #Truss, ehem. britishe PM, die den #Brexit pur zum Erfolg machen wollte, fordert jetzt eine ""ökonomische NATO um China…"
565,"RT @UKIP: We stand for square behind Northern Ireland. We demand #Brexit, not BRINO. We say no to foreign courts, foreign judges, foreign r…"
566,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
567,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
568,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
569,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
570,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
571,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
572,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
573,"RT @MarkTodd_pol: From Great Britain to Little England

#Brexit #BrexitBritain"
574,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
575,RT @BenPBradshaw: .⁦@the_brc⁩ you are quoted in this piece blaming the shortage of tomatoes &amp; other fresh Mediterranean veg on bad weather…
576,RT @saltyliquorice: #brexit https://t.co/fSoWkuwpME
577,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
578,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
579,"I was informed this eve that the severe shortage of vegs is a Europe wide problem, caused by lower output in produc… https://t.co/LFGVpDOqcT"
580,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
581,"RT @julianHjessop: FYI, two reasons for the current shortage of some out-of-season fruit &amp; veg:

1. bad weather in southern Europe and Nort…"
582,#Brexit .@campbellclaret .@RoryStewartUK .@Anna_Soubry .@Femi_Sorry https://t.co/3vYHpDhkRe
